Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Premises Baited,Number of Premises with Garbage,Number of Premises with Rats,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
05/01/2015,Completed,05/04/2015,15-01718590,Rodent Baiting/Rat Complaint,1,3,3,Dispatch Crew,Inspected and baited,5406 S BISHOP ST,60609,1167585.30033174,1868894.75707505,16,9,61,41.79579389383537,-87.66098923085973,"(41.795793893835, -87.66098923086)"
05/01/2015,Completed,05/06/2015,15-01713890,Rodent Baiting/Rat Complaint,1,4,2,Dispatch Crew,Inspected and baited,1620 W CATALPA AVE,60640,1164533.5667192,1936597.85432841,40,20,77,41.98164143078536,-87.67026162980542,"(41.981641430785, -87.670261629805)"
05/01/2015,Completed,05/05/2015,15-01720171,Rodent Baiting/Rat Complaint,0,5,0,Dispatch Crew,"Area inspected, no cause and no baiting",7415 S KIMBARK AVE,60619,1186162.39700328,1856095.23642275,5,3,43,41.760252012471945,-87.59327075224245,"(41.760252012472, -87.593270752242)"
05/01/2015,Completed,05/06/2015,15-01727664,Rodent Baiting/Rat Complaint,0,3,0,Dispatch Crew,"Area inspected, no cause and no baiting",6129 N CAMPBELL AVE,60659,1158546.25478662,1940612.21348864,50,24,2,41.992782075223836,-87.69217070898426,"(41.992782075224, -87.692170708984)"
05/01/2015,Completed,05/05/2015,15-01721182,Rodent Baiting/Rat Complaint,0,3,0,Dispatch Crew,"Area inspected, no cause and no baiting",6232 S MOODY AVE,60638,1136480.28588778,1862564.71132616,23,8,64,41.77903407494239,-87.77520533893647,"(41.779034074942, -87.775205338936)"
05/01/2015,Completed,05/06/2015,15-01724412,Rodent Baiting/Rat Complaint,0,4,0,Dispatch Crew,"Area inspected, no cause and no baiting",4853 N BELL AVE,60625,1160480.62042282,1932193.60722968,47,20,4,41.96964110927593,-87.68528971483434,"(41.969641109276, -87.685289714834)"
05/01/2015,Completed,05/05/2015,15-01722598,Rodent Baiting/Rat Complaint,2,6,3,Dispatch Crew,Inspected and baited,1531 N CLAREMONT AVE,60622,1160463.17223165,1910123.9013255,1,14,24,41.9090808361608,-87.68596670042065,"(41.909080836161, -87.685966700421)"
05/01/2015,Completed,05/05/2015,15-01719000,Rodent Baiting/Rat Complaint,0,0,0,Dispatch Crew,"Area inspected, no cause and no baiting",6808 N FRANCISCO AVE,60645,1155783.70790044,1945057.22641361,50,24,2,42.005035684163886,-87.70221184269185,"(42.005035684164, -87.702211842692)"
05/01/2015,Completed,05/05/2015,15-01719647,Rodent Baiting/Rat Complaint,1,10,9,Dispatch Crew,Inspected and baited,8638 S CARPENTER ST,60620,1170825.37771567,1847534.57467204,21,6,71,41.73710874147525,-87.64973025811776,"(41.737108741475, -87.649730258118)"
05/01/2015,Completed,05/07/2015,15-01724974,Rodent Baiting/Rat Complaint,3,7,4,Dispatch Crew,Inspected and baited,3721 W CORNELIA AVE,60618,1150864.05997422,1923011.71997094,30,17,21,41.944639510229415,-87.72089146983313,"(41.944639510229, -87.720891469833)"
05/01/2015,Completed,05/01/2015,15-01723357,Rodent Baiting/Rat Complaint,3,7,4,Dispatch Crew,Inspected and baited,3714 S WALLACE ST,60609,1172907.56521625,1880275.76697857,11,9,60,41.82690861706455,-87.64113612782054,"(41.826908617065, -87.641136127821)"
05/01/2015,Completed,05/05/2015,15-01723345,Rodent Baiting/Rat Complaint,0,7,4,Dispatch Crew,"Area inspected, no cause and no baiting",10210 S CARPENTER ST,60643,1171120.04290253,1837110.31283242,34,22,73,41.70849662783628,-87.64895431032787,"(41.708496627836, -87.648954310328)"
05/01/2015,Completed,05/06/2015,15-01718492,Rodent Baiting/Rat Complaint,1,7,2,Dispatch Crew,Inspected and baited,4912 N TALMAN AVE,60625,1157809.17228053,1932642.3810922,40,20,4,41.97092759687886,-87.69510040455742,"(41.970927596879, -87.695100404557)"
05/01/2015,Completed,05/04/2015,15-01718504,Rodent Baiting/Rat Complaint,1,2,2,Dispatch Crew,Inspected and baited,6200 S HERMITAGE AVE,60636,1165742.49617934,1863578.34597787,15,7,67,41.781244353518225,-87.66789778108797,"(41.781244353518, -87.667897781088)"
05/01/2015,Completed,05/05/2015,15-01724377,Rodent Baiting/Rat Complaint,0,10,0,Dispatch Crew,"Area inspected, no cause and no baiting",6641 S RHODES AVE,60637,1181044.89369864,1861098.17010717,20,3,42,41.77409985438805,-87.61187251101929,"(41.774099854388, -87.611872511019)"
05/01/2015,Completed,05/07/2015,15-01726979,Rodent Baiting/Rat Complaint,2,2,2,Dispatch Crew,Inspected and baited,1232 N CENTRAL PARK AVE,60651,1152144.6667969,1907970.04081965,26,25,23,41.90333865376772,-87.71658211191898,"(41.903338653768, -87.716582111919)"
05/01/2015,Completed,05/05/2015,15-01724747,Rodent Baiting/Rat Complaint,1,2,0,Dispatch Crew,Inspected and baited,5927 S LOOMIS BLVD,60636,1168010.62909574,1865445.81579961,16,7,67,41.78632045168202,-87.65952865404365,"(41.786320451682, -87.659528654044)"
